#scene_width	sceen_height	cam_x	cam_y	max_cam_x	max_cam_y	bg_r	bg_g	bg_b
[SETTINGS]
256	256	0	0	256	0	255	219	161

# list of object assets to load in this scene
[ASSETS]
loaders\mario-world.txt
loaders\tree-world.txt

#HUD
loaders\item-box.txt
loaders\font.txt
loaders\game-board.txt

[OBJECTS]
# type	x	y	extra_settings per object type
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
102	24	47

#TREE WORLD
206	8	15
206	24	15
206	40	15
206	8	31
206	24	31
206	40	31
206	8	63
206	24	63
206	40	63
206	8	79
206	24	79
206	40	79
206	8	95
206	72	31
206	88	31
206	104	31
206	72	47
206	88	47
206	104	47
206	72	63
206	88	63
206	104	63
206	136	31
206	152	31
206	168	31
206	200	15
206	216	15
206	200	31
206	216	31
206	200	47
206	216	47
206	136	63
206	152	63
206	168	63
206	184	63
206	200	63
206	216	63
206	136	79
206	152	79
206	216	79
206	88	95
206	104	95
206	120	95
206	216	95
206	216	111
206	216	127
206	216	143

[MAPFILE]
mapfiles\world1.txt
